filename,class,source,destination
100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61.jpg,Background,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\images\100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61.jpg,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\organized_images\Background\100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61.jpg
106_jpg.rf.e8dc04354de3fadaea50922857adf45e.jpg,Background,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\images\106_jpg.rf.e8dc04354de3fadaea50922857adf45e.jpg,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\organized_images\Background\106_jpg.rf.e8dc04354de3fadaea50922857adf45e.jpg
10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d.jpg,Background,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\images\10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d.jpg,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\organized_images\Background\10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d.jpg
110_jpg.rf.2c87278f41415f6dfc58e3844a3c61f3.jpg,Background,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\images\110_jpg.rf.2c87278f41415f6dfc58e3844a3c61f3.jpg,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\organized_images\Background\110_jpg.rf.2c87278f41415f6dfc58e3844a3c61f3.jpg
111_jpg.rf.43dd53d60dae89a68f02b58f3b167ad7.jpg,Background,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\images\111_jpg.rf.43dd53d60dae89a68f02b58f3b167ad7.jpg,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\organized_images\Background\111_jpg.rf.43dd53d60dae89a68f02b58f3b167ad7.jpg
112_jpg.rf.92193a5794943f9f116c91578f806da4.jpg,Background,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\images\112_jpg.rf.92193a5794943f9f116c91578f806da4.jpg,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\organized_images\Background\112_jpg.rf.92193a5794943f9f116c91578f806da4.jpg
113_jpg.rf.e2abde6eee16765e4266a017b1a3a1d0.jpg,Background,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\images\113_jpg.rf.e2abde6eee16765e4266a017b1a3a1d0.jpg,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\organized_images\Background\113_jpg.rf.e2abde6eee16765e4266a017b1a3a1d0.jpg
114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc.jpg,Background,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\images\114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc.jpg,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\organized_images\Background\114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc.jpg
115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c.jpg,Background,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\images\115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c.jpg,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\organized_images\Background\115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c.jpg
116_jpg.rf.91a6014ed9c5f347b7573c3f24e708b1.jpg,Background,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\images\116_jpg.rf.91a6014ed9c5f347b7573c3f24e708b1.jpg,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\organized_images\Background\116_jpg.rf.91a6014ed9c5f347b7573c3f24e708b1.jpg
117_jpg.rf.da22e9ff457d8821649c8d638cfa455b.jpg,Background,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\images\117_jpg.rf.da22e9ff457d8821649c8d638cfa455b.jpg,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\organized_images\Background\117_jpg.rf.da22e9ff457d8821649c8d638cfa455b.jpg
118_jpg.rf.0c7e43e16d89ff68409085be8b836561.jpg,Background,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\images\118_jpg.rf.0c7e43e16d89ff68409085be8b836561.jpg,C:\Users\anyas\Triple-T\data\microplastic-dataset-for-computer-vision\organized_images\Background\118_jpg.rf.0c7e43e16d89ff68409085be8b836561.jpg
